arg1,arg2,relation,connective,type,original_utt,original_utt_prev
the shoe color is a conversation starter ,it doesn't make them stand out in a bad way.,comparison,but,mid,they do things like wear a gray suit and match their button up shirt and shoes perfectly. the shoe color is a conversation starter but it doesn't make them stand out in a bad way.,"Yes, of course!"
"yes, i brushed my teeh, ",i couldn't find anything to wear so i just decided to stay inside.,comparison,but,mid,"yes, i brushed my teeh, but i couldn't find anything to wear so i just decided to stay inside.",Did you you brush your teeth?
"some of the designers dressed multiple people, ",some celebrities looked better than others.,comparison,but,mid,"i agree. some of the designers dressed multiple people, but some celebrities looked better than others.",Ha ha ha. You're too funny. His brother's tuxedo was nice though.
didnt he dress leslie jones from snl when no one else wanted to ,of her size?,contingency,because,mid,didnt he dress leslie jones from snl when no one else wanted to because of her size?,Vera wang or what about Christian Seriano.
that has to be made to fit her ,versace is normally for the 0-4 range.,contingency,because,mid,that has to be made to fit her because versace is normally for the 0-4 range.,Yes. I love her. She looks good in everything. i saw her in a Versace dress the other day.
i loved her golden versace dress ,even more i loved the blue feather like material that flowed down like a train from her dress.,comparison,but,mid,i loved her golden versace dress but even more i loved the blue feather like material that flowed down like a train from her dress.,What did you think of Blake LIvely's dress ?
well in a way yes ,the dressed looked totally different.,comparison,but,mid,well in a way yes but the dressed looked totally different.,Did you think Chrissy Teigen was sort of ripping off Blake Lively's dress with the feathers at the bottom ?
i love leggings they're so comfortable ,i'm glad they're on trend this season.,contingency,so,mid,i love leggings they're so comfortable so i'm glad they're on trend this season.,I'm going to buy a ton of leggings as well.
velvet and lace leggings are great ,they can be dressed up to wear out for the evening.,contingency,because,mid,velvet and lace leggings are great because they can be dressed up to wear out for the evening.,Y/Project makes beautiful velvet leggings.
"a little, ",i like the way they look.,comparison,but,mid,"a little, but i like the way they look.",They are. Is it hard to walk in those.
well no.,she appreciates that kind of thing though.,comparison,but,begin,well no. but she appreciates that kind of thing though. she enjoys fashion in all its forms.,I bet you wouldn't see her in Topshop or Modcloth.
"she doesn't like underwear to show, ",", and she'll tell a grandchild so  directly.",expansion,for example,mid,"not always. she doesn't like underwear to show, for example, and she'll tell a grandchild so  directly.",She complements them.
"that truly was bold, ",not as bold as the sweat suit snoop dogg put on with a gold chain.,comparison,but,mid,"that truly was bold, but not as bold as the sweat suit snoop dogg put on with a gold chain.",I am amazed to see Pharrel rocking that Tommy Hilfiger outfit
i love thrift stores ,you can get trendy clothes for less.,contingency,because,mid,that would be fun. i love thrift stores because you can get trendy clothes for less.,We should go to the thrift store to find her some new stuff and we can get your kids something too.
neither can i ,i'll buy it used.,comparison,but,mid,neither can i but i'll buy it used.,I agree. I can't see paying those prices for a shirt.
"that truly was bold, ",not as bold as the sweat suit snoop dogg put on with a gold chain.,comparison,but,mid,"that truly was bold, but not as bold as the sweat suit snoop dogg put on with a gold chain.",I am amazed to see Pharrel rocking that Tommy Hilfiger outfit
it was crazy!,nothing like lady gaga.,comparison,but,begin,"oh my gosh, yes i did. it was crazy! but nothing like lady gaga.",Did you see Miley Cyrus' dress at the MTV awards?
i'm trying to remember the name of the designer ,it has slipped my mind.,comparison,but,mid,i'm trying to remember the name of the designer but it has slipped my mind.,"Yes, she looked absolutely stunning."
to each his own ,i'll stick with white.,comparison,but,mid,right. to each his own but i'll stick with white.,Not ugly but weird.
i think i want them too.,they can't be comfortable to wear to work all day.,comparison,but,begin,i think i want them too. but they can't be comfortable to wear to work all day.,Yes! A big shiny buckle. I wanted those shoes.
"no, probably not.",the woman i saw didn't care.,comparison,but,begin,"no, probably not. but the woman i saw didn't care.",I think I want them too. But they can't be comfortable to wear to work all day.
could you imagine how long it took for them to get ready?,"how many outfits they had to look at before they decided on, ""the one?""",expansion,or,begin,"could you imagine how long it took for them to get ready?  or how many outfits they had to look at before they decided on, ""the one?""",Agreed.  I also loved her partner's look also.  It was a perfect compliment to the dress.
or how many outfits they had to look at ,"they decided on, ""the one?""",temporal,before,mid,"could you imagine how long it took for them to get ready?  or how many outfits they had to look at before they decided on, ""the one?""",Agreed.  I also loved her partner's look also.  It was a perfect compliment to the dress.
"i don't know how she can pull of a suit like that, ",i wish i could!,comparison,but,mid,"i don't know how she can pull of a suit like that, but i wish i could!",Totally agree.  Her simple hair style complimented it in such a way.  It was simple yet so gorgeous.
no clue.,after standing on the red carpet for a couple hours i bet she was ready to take them off.,comparison,but,begin,no clue.  but after standing on the red carpet for a couple hours i bet she was ready to take them off.,Her shoes also complimented the outfit.  Simple tan.  How does she walk in those?
if i were to wear a gorgeous armani suit with those shoes ,"looked as good as she did, i don't think i'd ever take the outfit off.",expansion,and,mid,"if i were to wear a gorgeous armani suit with those shoes and looked as good as she did, i don't think i'd ever take the outfit off.",No clue.  But after standing on the red carpet for a couple hours I bet she was ready to take them off.
"i agree, ","i tend to be more on the mysterious and dark side of things, haha.",comparison,although,mid,"i agree, although i tend to be more on the mysterious and dark side of things, haha.",I have! I always love her style; she's mysterious and dark while being trendy and fresh at the same time.
it's long enough to be dressy ,short enough to be fun.,comparison,but,mid,"the 1940s-inspired cream floral one, i think. it's long enough to be dressy but short enough to be fun.",What's your favorite of her new dresses this year?
"besides, vera wang also has a set of silk camisoles out, ",i couldn't decide what to get.,contingency,so,mid,"no, i haven't. besides, vera wang also has a set of silk camisoles out, so i couldn't decide what to get.","Yeah, it is! You know me so well! Have you bought any yet?"
i wish i had more money ,i could be more fashionable.,contingency,so,mid,i wish i had more money so i could be more fashionable.,I love Vera Wang's style.
i don't ,i've noticed how good they look on you.,comparison,but,mid,i don't but i've noticed how good they look on you.,I love the scarf look. I wear them all the time.
i do actually ,it has to be the right kind of scarf.,comparison,but,mid,i do actually but it has to be the right kind of scarf.,"No, but do you think I'd look good."
"i agree, ",i really do like that blush color that is becoming so popular.,comparison,but,mid,"i agree, but i really do like that blush color that is becoming so popular.","Yes, I just didn't think it was very tasteful."
"maybe not yet, ",wait for summer.,comparison,but,mid,"maybe not yet, but wait for summer.",Are they wearing it here?
"that truly was bold, ",not as bold as the sweat suit snoop dogg put on with a gold chain.,comparison,but,mid,"that truly was bold, but not as bold as the sweat suit snoop dogg put on with a gold chain.",I am amazed to see Pharrel rocking that Tommy Hilfiger outfit
What a scandal!,isn't her stuff kind of matronly?,comparison,but,begin,but isn't her stuff kind of matronly?,"Lane Bryant created the first modern maternity dresses, and her company's ads were the first to mention pregnancy. What a scandal!"
not really.,try torrid if you want sexy things in plus sizes.,comparison,but,begin,not really. but try torrid if you want sexy things in plus sizes.,But isn't her stuff kind of matronly?
"They use real women in their ads, and carry a full size range of vintage and indie clothing.",aren't they part of walmart now?,comparison,but,begin,but aren't they part of walmart now?,"Try Modcloth then. They use real women in their ads, and carry a full size range of vintage and indie clothing."
they're an independent part of of a subsidiary.,"if you like cute clothes, you won't care.",comparison,but,begin,"they're an independent part of of a subsidiary. but if you like cute clothes, you won't care.",But aren't they part of WalMart now?
"you might like forever 21, then.","it's mostly young looks, they do carry a full range of sizes.",comparison,although,begin,"you might like forever 21, then. although it's mostly young looks, they do carry a full range of sizes.","I dont want to shop online, though, I want to try things on in the store. And I dont want to overspend."
"very good, sometimes.","you know, it's fast fashion, not the classics.",comparison,but,begin,"very good, sometimes. but you know, it's fast fashion, not the classics.",Their prices are pretty good? Money's tight.
"they're actually an english brand, ",they sell over here too.,comparison,but,mid,"there's topshop. they're actually an english brand, but they sell over here too.",Sounds good. Have you got more stores like that?
"a bride wants to look stylish,  ",she knows her children will be looking at those pictures in twenty years.,comparison,but,mid,"yes it is. a bride wants to look stylish,  but she knows her children will be looking at those pictures in twenty years.",It's so hard to choose the right wedding dress.
"don't show too much skin, ","don't cover up like a nun, either.",comparison,but,mid,"you're right! don't show too much skin, but don't cover up like a nun, either.",It's a question of balance.
"don't wear too much sparkle, ",wear a little something that makes it all pop.,comparison,but,mid,"don't wear too much sparkle, but wear a little something that makes it all pop.","You're right! Don't show too much skin, but don't cover up like a nun, either."
"make your mother happy, ","please the groom, too.",comparison,but,mid,"make your mother happy, but please the groom, too.","Don't wear too much sparkle, but wear a little something that makes it all pop."
"it did, ",everybody i heard seemed to  approve.,comparison,but,mid,"it did, but everybody i heard seemed to  approve. they wore elegant, summery, black dreses.",I bet that caused talk.
i just love their bags ,i hate their prices.,comparison,but,mid,i just love their bags but i hate their prices.,"Then this one would be a good one for you, too.   It is the perfect size, easy access -not too deep, not too wide."
"they can look nice, ",only when it's over-sized and bulky.,comparison,but,mid,"they can look nice, but only when it's over-sized and bulky.","Yes! Speaking of jackets, what are your thoughts on old military jackets?"
i love sheath dresses ,they always look so professional!,contingency,because,mid,oooh that does sound lovely. i love sheath dresses because they always look so professional!,I actually prefer Ann Taylor. I think their clothing is more sophisticated. I'm going there this weekend to get a lovely sheath dress for work.
"gosh, sometimes i wish i made more money ",i can shop at more expensive stores - like coach or something.,contingency,so,mid,"i think i should be able to make a saturday morning shopping trip. gosh, sometimes i wish i made more money so i can shop at more expensive stores - like coach or something.",I'm planning to go on Saturday morning. I have other things going on later in the day. Will you be able to come with? You can give me feedback on the sheath dress?
i like that ,haven't seen the triangle jewelry at stores.,comparison,but,mid,i like that but haven't seen the triangle jewelry at stores.,Yes. I went to the store and it seemed like all the jewelry had triangles. I had to get in on the trend.
i have roses and otus flowers right now ,am getting some others soon.,comparison,but,mid,i have roses and otus flowers right now but am getting some others soon.,Good. I want to buy some flower earrings for my mom.
"don't tell anyone, ",i bought that one.,comparison,but,mid,"i saw a really cute red top with blue trim. don't tell anyone, but i bought that one.",How about tops? Did you see any?
"i love boat necks, ",i can't wear them anymore.,comparison,but,mid,"i love boat necks, but i can't wear them anymore.",Not really. It's just plain red with some blue trim around the collar. It's a boat neck.
"well, not for me it isn't ",to each his own.,comparison,but,mid,"well, not for me it isn't but to each his own.",A sheer top is a more subtle  way to show some skin this spring.
i'm sorry ,walking around in sheer clothing is like walking around nearly naked to me.,comparison,but,mid,i'm sorry but walking around in sheer clothing is like walking around nearly naked to me.,"You have to get with the times, Jasmine."
i haven't ,"im definitely interested in checking that out, i love their shirts.",comparison,but,mid,"i haven't but im definitely interested in checking that out, i love their shirts.","Have you seen the new loot crate clothing options, yet."
i bierfly checked it out ,it looks pretty good.,comparison,but,mid,me too!  i bierfly checked it out but it looks pretty good.,"I haven't but im definitely interested in checking that out, i love their shirts."
i didn't get the harry potter ones ,"i have the star wars bb8 ones, they are so cute.",comparison,but,mid,"i didn't get the harry potter ones but i have the star wars bb8 ones, they are so cute.","They did, that was one i was thinking about getting, i love the harry potter and star wars socks i got."
i dont know about that ,how many years do you wear stuff?,comparison,but,mid,i dont know about that but how many years do you wear stuff?,And they make them cheaply dont they
"that truly was bold, ",not as bold as the sweat suit snoop dogg put on with a gold chain.,comparison,but,mid,"that truly was bold, but not as bold as the sweat suit snoop dogg put on with a gold chain.",I am amazed to see Pharrel rocking that Tommy Hilfiger outfit
i did too ,i didn't like the lace ruffle at the bottom.,comparison,but,mid,i did too but i didn't like the lace ruffle at the bottom.,I did like the sheer lace dresses that Dolce and Gabanna were showing.
it's meant to be cooling.,it is cooling.,expansion,in fact,begin,it's meant to be cooling. in fact it is cooling.,Yes and I hate it. I always think people are evaluating my underwear.
it's a good way to reuse as well ,you don't waste things.,contingency,so,mid,that's fine. it's a good way to reuse as well so you don't waste things.,I have a few old ones that are frayed.
i love this ,it's messed up so i'd like to make a bag out of it.,comparison,but,mid,i love this but it's messed up so i'd like to make a bag out of it.,Yes.
"i know, ",how long will they last?,comparison,but,mid,"i know, but how long will they last?",Not bad.
"that truly was bold, ",not as bold as the sweat suit snoop dogg put on with a gold chain.,comparison,but,mid,"that truly was bold, but not as bold as the sweat suit snoop dogg put on with a gold chain.",I am amazed to see Pharrel rocking that Tommy Hilfiger outfit
"at the time that dress created quite a controversy, ",now it seems like severely low-cut dresses are commonplace.,comparison,but,mid,"at the time that dress created quite a controversy, but now it seems like severely low-cut dresses are commonplace.",The green Versace dress that Jennifer Lopez wore to the 2000 Grammys.
"she was so embarrassed she wrote a letter of apology to chanel, ","later appeared in an article in harper's bazaar with the headline, ""i'd rather go naked than wear fake chanel.""",expansion,and,mid,"she was so embarrassed she wrote a letter of apology to chanel, and later appeared in an article in harper's bazaar with the headline, ""i'd rather go naked than wear fake chanel.""",What about when Courtney Love accidentally wore a Chanel knock-off to Paris Hilton's birthday party?
"ashley nell tipton was the winner of project runway season 14.  not only was she the first contestant to show a plus-size collection, ",she was the first contestant to win the grand prize with a plus-size collection.,comparison,but,mid,"ashley nell tipton was the winner of project runway season 14.  not only was she the first contestant to show a plus-size collection, but she was the first contestant to win the grand prize with a plus-size collection.",It's nice to see the majority of women represented in fashion magazines for once.
"why can't plus-size fashion just look like regular fashion, ",in bigger sizes?,comparison,but,mid,"why can't plus-size fashion just look like regular fashion, but in bigger sizes?","No, they're always off-the-shoulder or sheer-shoulder designs, or huge, flowing tunic tops that feel like tents."
"i wish it wasn't called plus-size fashion at all, ","simply, ""fashion"".",comparison,but,mid,"i wish it wasn't called plus-size fashion at all, but simply, ""fashion"".  ashley nell tipton bringing bigger women to the mainstream has made me more hopeful.","Why can't plus-size fashion just look like regular fashion, but in bigger sizes?"
"maybe tyra banks will do a new season of america's next top model, ",with plus-size models!,comparison,but,mid,"maybe tyra banks will do a new season of america's next top model, but with plus-size models!","The bottom line is, in order to keep the fashion industry fresh and relevant, the majority of women need to be represented."
straight and not old.,society fears older women who don't want to sleep with men.,contingency,because,begin,straight and not old. because society fears older women who don't want to sleep with men. or who men don't want to sleep with.,Yes! It's like they're trying to make her look straight.
"right i understand that it's television and all, ",we can bring gender neutral clothing into the mainstream,comparison,but,mid,"right i understand that it's television and all, but we can bring gender neutral clothing into the mainstream","Yeah, but even with her sometimes they try to make it too feminine"
"yeah, i don't even mind overtly feminine or masculine clothing.",it feels like most people are somewhere in between on the spectrum.,comparison,but,begin,"yeah, i don't even mind overtly feminine or masculine clothing. but it feels like most people are somewhere in between on the spectrum.","Right I understand that it's television and all, but we can bring gender neutral clothing into the mainstream"
"it's mostly pantsuits, ",they fit her well.,comparison,but,mid,"i like mary carillo's outfits as well. it's mostly pantsuits, but they fit her well.",Yes! There are so many in between people. I wish they would show that more on television.
"i used to not like skinny jeans, ",they've grown on me.,comparison,but,mid,"i used to not like skinny jeans, but they've grown on me.",Yes. It is a good cut for her
"this wedding should be much fun, ",i feel i need a new fashionable dress to wear to the event.,comparison,but,mid,"me too! this wedding should be much fun, but i feel i need a new fashionable dress to wear to the event.","Oh, I love weddings."
"i like the color and style, ",i'm not fond of strapless dresses.,comparison,but,mid,"i like the color and style, but i'm not fond of strapless dresses. do you see anything that is cute, sleeveless, but not strapless.",How about this dress.  I like the soft material and it's strapless.  It will be perfect for the wedding.
"i love tom ford, ",i can't afford his clothes.,comparison,but,mid,"i love tom ford, but i can't afford his clothes.",Who is your favorite desinger
"yeah, tom ford is ok, jay-z seems to love him, ",i'm not into tom ford's clothes.,comparison,but,mid,"yeah, tom ford is ok, jay-z seems to love him, but i'm not into tom ford's clothes.","I love Tom Ford, but I can't afford his clothes."
she become my icon of the years she has so much style ,class and she has nice skin to go with her outfits.,expansion,and,mid,i like the way michelle obama dressed. she become my icon of the years she has so much style and class and she has nice skin to go with her outfits.,Who is your style Icon?
"yes, her runway shows are far out, ",her ready to wear is far more down to earth.,comparison,but,mid,"yes, her runway shows are far out, but her ready to wear is far more down to earth.","I'm not sure if I would have followed the theme either this year, Rei Karakubo's clothes are very eccentric."
i didn't like that color on the dress ,i thought it was too bright.,contingency,because,mid,really?  i didn't like that color on the dress because i thought it was too bright.,"Yes, I liked the color."
true that.,"i will say, plaid shorts look excellent on a white man.",comparison,but,begin,"true that. but i will say, plaid shorts look excellent on a white man.","Yeah, no way a white guy can pull that off."
Especially with a light grey t-T-shirt.,not plaid shirts.,comparison,but,begin,but not plaid shirts. save those for the mexicans.,Mhm. Especially with a light grey t-T-shirt.
"that truly was bold, ",not as bold as the sweat suit snoop dogg put on with a gold chain.,comparison,but,mid,"that truly was bold, but not as bold as the sweat suit snoop dogg put on with a gold chain.",I am amazed to see Pharrel rocking that Tommy Hilfiger outfit
literally thousands.,the bag will keep its value.,comparison,but,begin,literally thousands. but the bag will keep its value.,Beautiful handbag. How much did that cost you?
stilettos will always be popular.,chunky heels are making a come back.,comparison,but,begin,stilettos will always be popular. but chunky heels are making a come back.,Which style of shoes are in this season? I love my Louboutins to death!
she always looks great on the red carpet ,i agree this is one of her better dresses!,comparison,but,mid,she always looks great on the red carpet but i agree this is one of her better dresses!,It was so great to see Jessica Biel step out of her box and wear that to-die-for gold gown.
yeah there were a few celebrities that wore gold this year ,which golden dressed celebrity was your favorite ?,comparison,but,mid,yeah there were a few celebrities that wore gold this year but which golden dressed celebrity was your favorite ?,I noticed that Solange Knowles also was wearing gold.
yeah that was really tight on her body ,who was your favorite dress male at the grammys ?,comparison,but,mid,yeah that was really tight on her body but who was your favorite dress male at the grammys ?,I really liked the golden top that Katy Perry wore on the red carpet.
i thought it was gorgeous ,really safe i think she could have pushed the limits more.,comparison,but,mid,i thought it was gorgeous but really safe i think she could have pushed the limits more.,What did you think of Mya's red silk pant suit ?
"that truly was bold, ",not as bold as the sweat suit snoop dogg put on with a gold chain.,comparison,but,mid,"that truly was bold, but not as bold as the sweat suit snoop dogg put on with a gold chain.",I am amazed to see Pharrel rocking that Tommy Hilfiger outfit
"skinny jeans - i'm all for clothes that have a tailored fit, ",some of those jeans are too tight.,comparison,but,mid,"skinny jeans - i'm all for clothes that have a tailored fit, but some of those jeans are too tight.",What are some fashion trends that you can't stand right now?
"it seems like they come and go, ",never look good.,comparison,but,mid,"another one for me is torn pants. it seems like they come and go, but never look good.","True, but not the general wearer."
"yeah, not my fave ",that's probably my best option for the festival.,comparison,but,mid,"yeah, not my fave but that's probably my best option for the festival.",Floral prints are in too! What about that?
"i think i'll wear a floral mini, ",i have to see what's in stores.,comparison,but,mid,"i think i'll wear a floral mini, but i have to see what's in stores.",I think I'm gonna wear a full length lace dress.
"yes, that is so great for those of us who carry around everything ",the kitchen sink.,comparison,but,mid,"yes, that is so great for those of us who carry around everything but the kitchen sink. do you like the utilitarian trend?","I love that color is in right now, I was so ready for it! I've also seen a lot of large bags on the runways."
it was wild ,nothing last last years fashions.,comparison,but,mid,i liked it ! it was wild but nothing last last years fashions.,You think so ? I though Rihanna's dress was insane!
yes it was beautiful.,a copy of beyoncé dress last year.,comparison,but,begin,yes it was beautiful. but a copy of beyoncé dress last year.,It was a statement. Did you see Kylie Jenners dress?
of course.,alexander mcqueen is better.,comparison,but,begin,of course. but alexander mcqueen is better.,I love Chanel. Do you prefer Chanel to Michael Khors fashion ?
i don't think so.,i do like the way he mixes patterns on his clothes.,comparison,but,begin,i don't think so. but i do like the way he mixes patterns on his clothes.,Of course. But Alexander McQueen is better.
it was a little hard to do the skirt with all those ruffles and such ,i loved how it turned out.,comparison,but,mid,thanks. it was a little hard to do the skirt with all those ruffles and such but i loved how it turned out.,That one was beautiful.
the thing is i know the color i want ,that's it.,comparison,but,mid,the thing is i know the color i want but that's it.,We can do that any time you'd like.
"they compress, ",they feel good and look good.,contingency,so,mid,"the leggings help so much, too. they compress, so they feel good and look good.",I--I am.
"Students for instance tend to spend all morning to make sure they will follow the latest fashion, oftenly forgeting about the rest of the world.",remember that fashion also gives them a sense of individuality.,comparison,but,begin,but remember that fashion also gives them a sense of individuality. it allows them to express their inner selves.,"Well, I agree with you. Students for instance tend to spend all morning to make sure they will follow the latest fashion, oftenly forgeting about the rest of the world."
you mean that girls wear colorful dresses like ,", beautiful butterflied?",expansion,for instance,mid,"you mean that girls wear colorful dresses like for instance, beautiful butterflied?",But remember that fashion also gives them a sense of individuality. It allows them to express their inner selves.
this is exactly what i meant.,", boys also try to do their best to look like famous actors.",expansion,in addition,begin,"this is exactly what i meant. in addition, boys also try to do their best to look like famous actors.","You mean that girls wear colorful dresses like for instance, beautiful butterflied?"
"In addition, boys also try to do their best to look like famous actors.","in that situation, people do not express their inner selves, but try to become someone they really like.",comparison,but,begin,"but in that situation, people do not express their inner selves, but try to become someone they really like.","This is exactly what I meant. In addition, boys also try to do their best to look like famous actors."
"but in that situation, people do not express their inner selves, ",try to become someone they really like.,comparison,but,mid,"but in that situation, people do not express their inner selves, but try to become someone they really like.","This is exactly what I meant. In addition, boys also try to do their best to look like famous actors."
"i guess you are actually right, ",remember that some people will follow and some people will lead in terms of fashion.,comparison,but,mid,"i guess you are actually right, but remember that some people will follow and some people will lead in terms of fashion. there will always be someone to express their fashion which then other people will copy. fashion sells relaly well, therefore celebrities try to stand out of the rest, even when it means to be the topic of controversion.","But in that situation, people do not express their inner selves, but try to become someone they really like."
"i do think that this is an element of perosnal fashion, ","as we have said before, there has to be a limit.",comparison,but,mid,"i do think that this is an element of perosnal fashion, but as we have said before, there has to be a limit. if a woman decides to shave a part of their head and knows why, it should look quite attractive, same goes for piercing.","Once you have mentioned the controversion. What do you think of women who cut off all their hair in order to be bald, or who pierce their bodies in a multiple places."
"i do think that this is an element of perosnal fashion, but as we have said ",", there has to be a limit.",temporal,before,mid,"i do think that this is an element of perosnal fashion, but as we have said before, there has to be a limit. if a woman decides to shave a part of their head and knows why, it should look quite attractive, same goes for piercing.","Once you have mentioned the controversion. What do you think of women who cut off all their hair in order to be bald, or who pierce their bodies in a multiple places."
i wear this particular necklace ,i stronly believe that it outlines the aspect of luxury as a part of my fashion.,contingency,because,mid,jewelery hmm? i wear this particular necklace because i stronly believe that it outlines the aspect of luxury as a part of my fashion. there are different types of jewerly like bracelets or even jewelry based on piercing. i think it is extremely important to add tiny jewerly aspects to our personal fashion styles.,"How about jewelry, I see that you wear a diamond necklace. Do you think jewelry is also an important part of fashion?"
